"Employers who were issued a positive Labour Market Impact Assessment (LMIA) by Stream, National Occupational Classification (NOC) 2011 and business location in 2018 (July-September)",,,,,
Province/Territory,Stream,Employer,Address,Occupations under NOC 2011,Approved Positions
,,Le Shack du Mont-Tremblant inc.,"Mont-Tremblant, QC J8E 1B1",6322-Cooks,1
,,Leddartech Inc.,"QUÉBEC, QC G1P 2J7",2174-Computer programmers and interactive media developers,1
,,Les Abattoirs M.S. International Inc.,"SAINT-ISIDORE, QC J0L 2A0",0621-Retail and wholesale trade managers,1
,,Les Aliments Tri-Deli Inc,"MONT-SAINT HILAIRE, QC J3H 0L3",2221-Biological technologists and technicians,1
,,Les Contenants Durabac Inc,"GRANBY, QC J2J 0P2",7237-Welders and related machine operators,4
,,Les entreprises Gré-Mar Ltée,"Lambton, QC G0M 1H0",7231-Machinists and machining and tooling inspectors,1
,,Les Entreprises Marvais Inc.,"Boucherville, QC J4B 5E4",0631-Restaurant and food service managers,1
,,Les Équipements Lapierre Inc,"SAINT-LUDGER, QC G0M 1W0",7237-Welders and related machine operators,8
,,Les équipements Masse (1987) Inc.,"Trois-Rivières, QC G9B 7J5",7312-Heavy-duty equipment mechanics,1
,,Les importations sindbad inc,"MONTRÉAL, QC H3B 1K9","6344-Jewellers, jewellery and watch repairers and related occupations",1
,,Les industries et équipements Laliberté Ltée,"SAINTE-CLAIRE, QC G0R 2V0",7231-Machinists and machining and tooling inspectors,2
,,,,7237-Welders and related machine operators,3
,,Les industries G.E. Gilbert inc.,"Sherbrooke, QC J1L 1V9",7231-Machinists and machining and tooling inspectors,6
,,Les Industries Spectra Premium Inc.,"Boucherville, QC J4B 5Z5",2232-Mechanical engineering technologists and technicians,1
,,,,7231-Machinists and machining and tooling inspectors,3
,,,,7232-Tool and die makers,8
,,Les Outilleurs Arpex inc,"Drummondville, QC J2B 1J6",2233-Industrial engineering and manufacturing technologists and technicians,1
,,,,7231-Machinists and machining and tooling inspectors,1
,,Les sables olimag inc.,"THETFORD MINES, QC G6G 6P6",7311-Construction millwrights and industrial mechanics,2
,,Les Services Conseils Systématix Inc.,"QUÉBEC, QC G1V 4W2",2171-Information systems analysts and consultants,1
,,,,2174-Computer programmers and interactive media developers,5
,,Les Studios Moment Factory Inc.,"Montréal, QC H2V 4H8",5241-Graphic designers and illustrators,1
,,LES YMCA DU QUÉBEC,"MONTRÉAL, QC H3G 1W4",4212-Social and community service workers,1
,,Lichen Inc.,"Montréal, QC H2Y 2R6",2175-Web designers and developers,1
,,Logiciels Tangerine inc,"Ville St-Laurent, QC H4M 2X4",6221-Technical sales specialists - wholesale trade,1
,,Machinage Gagné Ltee,"GRANBY, QC J2G 9J5",7231-Machinists and machining and tooling inspectors,3
,,Machinerie d'emballage Starview Inc.,"DORVAL, QC H9P 1H6",2241-Electrical and electronics engineering technologists and technicians,1
,,Machinerie G.A.S. ltee,"LÉVIS, QC G7A 5G6",7231-Machinists and machining and tooling inspectors,2
,,Madame Brown Inc,"MONTREAL, QC H2J 3C5","5232-Other performers, n.e.c.",1
,,Manac Inc.,"St-Georges de Beauce, QC G5Y 8G6",7237-Welders and related machine operators,18
,,,,7312-Heavy-duty equipment mechanics,5
,,,,"7321-Automotive service technicians, truck and bus mechanics and mechanical repairers",3
,,MANUFACTURE FRAMECO LTÉE,"ST-JOSEPH-DE-BEAUCE, QC G0S 2V0",7237-Welders and related machine operators,2
,,Marmen Inc.,"Trois-Rivières, QC G8T 8V8",7237-Welders and related machine operators,3
,,Métal Marquis inc.,"La Sarre, QC J9Z 2L1",7231-Machinists and machining and tooling inspectors,1
,,,,7333-Electrical mechanics,1
,,Métosak Inc,"Sherbrooke, QC J1C 0W2",7237-Welders and related machine operators,3
,,Metra Aluminium,"Laval, QC H7S 1P3",0601-Corporate sales managers,1
,,Microbrasserie le Naufrageur Inc.,"Carleton, QC G0C 1J0",6321-Chefs,1
,,Microdrones Canada Inc.,"VAUDREUIL-DORION, QC J7V 8P2",0213-Computer and information systems managers,1
,,Momentum Technologies inc.,"Québec, QC G2J 0B9",2171-Information systems analysts and consultants,1
,,,,2174-Computer programmers and interactive media developers,5
,,N & N Remorques Inc.,"St-Germain-de-Grantham, QC J0C 1K0",7237-Welders and related machine operators,2
,,NEW WORLD LABORATORIES,"LAVAL, QC H7V 5B7",2112-Chemists,1
,,Northforge Innovations Inc,"Gatineau, QC J8X 3H3",2173-Software engineers and designers,1
,,Nubik Inc.,"MONTRÉAL, QC H3L 3J6",2174-Computer programmers and interactive media developers,1
,,Nuchem Therapeutics Inc.,"MONTRÉAL, QC H4P 2R2",2112-Chemists,1
,,Nutech inc.,"Disraeli, QC G0N 1E0",2232-Mechanical engineering technologists and technicians,1
,,,,7231-Machinists and machining and tooling inspectors,1
,,O.S.I. PRÉCISION INC.,"Saint-Georges, QC G6A 1E4",7231-Machinists and machining and tooling inspectors,12
,,Oasis Animation Inc.,"Montréal, QC H2W 2R2","5131-Producers, directors, choreographers and related occupations",1
,,Office d'Investissement des Régimes de Pension du secteur public,"Montréal, QC H3B 5E9","0013-Senior managers - financial, communications and other business services",1
,,OmegaChem Inc.,"Lévis, QC G6W 7V6",2112-Chemists,4
,,onepoint Canada Inc.,"Montreal, QC H3B 1K9",2281-Computer network technicians,1
,,Optimoule Inc,"Thetford Mines, QC G6G 7H4",7231-Machinists and machining and tooling inspectors,1
,,Optiplast 2012 inc.,"SAINT-LAZARE-DE-BELLECHASSE, QC G0R 3J0",2233-Industrial engineering and manufacturing technologists and technicians,6
,,Outerminds Inc,"MONTRÉAL, QC H3A 1E7",5241-Graphic designers and illustrators,1
,,Papineau International S.E.C.,"Saint-Jérôme, QC J7Y 4C2",7511-Transport truck drivers,11
,,Paquin Ford Ltée,"ROUYN-NORANDA, QC J9X 4K9","7321-Automotive service technicians, truck and bus mechanics and mechanical repairers",3
,,Parfum de Corée Inc.,"RIMOUSKI, QC G5L 4B6",6322-Cooks,1
,,Pêcheries Nikan S.E.C.,"Essipit, QC G0T 1K0","7384-Other trades and related occupations, n.e.c.",2
,,Pixi Studio inc.,"Montréal, QC H4C 2E1",5241-Graphic designers and illustrators,1
,,PlanetHoster Inc.,"Laval, QC H7P 0G1",2174-Computer programmers and interactive media developers,1
,,Plate 2000 inc,"St-Anselme, QC G0R 2N0",7237-Welders and related machine operators,2
,,Plessitech inc.,"PLESSISVILLE, QC G6L 2Y6",7231-Machinists and machining and tooling inspectors,1
,,Premier Tech Limitée,"Rivière-du-Loup, QC G5R 6C1",2232-Mechanical engineering technologists and technicians,1
,,Preste inc,"MONTREAL, QC H2X 2S6","5131-Producers, directors, choreographers and related occupations",1
,,Prevost - A Division of Group Volvo Canada Inc,"SAINTE-CLAIRE, QC G0R 2V0",7312-Heavy-duty equipment mechanics,1
,,,,"7321-Automotive service technicians, truck and bus mechanics and mechanical repairers",1
,,Productions Double Negative Montréal Ltée,"MONTRÉAL, QC H2Y 1A6",4021-College and other vocational instructors,1
,,,,5241-Graphic designers and illustrators,6
,,Produits de construction Derby inc.,"St-Augustin-de-Desmaures, QC G3A 2K1",2232-Mechanical engineering technologists and technicians,1
,,,,7231-Machinists and machining and tooling inspectors,1
,,Produits Métalliques Bussières,"St-Henri-de-Lévis, QC G0R 3E0",7237-Welders and related machine operators,1
,,Pro-Mec Élite Inc.,"LA TUQUE, QC G9X 3C4",7237-Welders and related machine operators,1
,,Qualtech inc,"QUÉBEC, QC G1N 4K3",2253-Drafting technologists and technicians,1
,,Rasakti inc.,"St-Germain-de-Grantham, QC J0C 1K0",7231-Machinists and machining and tooling inspectors,3
,,Reitmans Canada Ltd,"Montréal, QC H3L 1Z2",5223-Graphic arts technicians,1
,,,,"5232-Other performers, n.e.c.",21
,,Rénald Toussaint Construction Inc,"ROUYN-NORANDA, QC J9Y 0C8",7237-Welders and related machine operators,1
,,Restaurant Normandin (2014) Inc.,"Québec, QC G2B 1B3",6322-Cooks,1
,,Restaurant Shogun (1984) Ltd.,"BROSSARD, QC J4Z 1A6",6322-Cooks,2
,,Resto-Bar La Patrie Inc.,"La Patrie, QC J0B 1Y0",6322-Cooks,1
,,Rodeo FX Inc.,"MONTRÉAL, QC H3C 2M7",5241-Graphic designers and illustrators,4
,,Rotobec Inc.,"Sainte-Justine, QC G0R 1Y0","9536-Industrial painters, coaters and metal finishing process operators",1
,,Royal Bromont Inc.,"BROMONT, QC J2L 1E9",6321-Chefs,1
,,Royal Vezina Inc. (Rôtisserie St-Hubert),"Montreal, QC H1N 1C3",1311-Accounting technicians and bookkeepers,1
,,Samfet Marble Inc.,"MONTREAL, QC H3Z 1K9",2234-Construction estimators,1
,,Saputo Inc.,"Montreal, QC H1P 1X8",0213-Computer and information systems managers,1
,,Service de Gestion Alfax Ltee,"MONT-ROYAL, QC H4P 1H7",1112-Financial and investment analysts,1
,,Service Trans-West inc.,"Lachine, QC H8T 2X9",7511-Transport truck drivers,4
,,Services et solutions TWM Canada inc.,"Montréal, QC H2Y 1T4",2171-Information systems analysts and consultants,1
,,Services Matrec Inc.,"BOUCHERVILLE, QC J4B 6Z5",7312-Heavy-duty equipment mechanics,4
,,SERVICES SANITAIRES DENIS FORTIER INC.,"Thetford Mines, QC G6H 4G2",7371-Crane operators,1
,,Shipco Transport (Canada) inc.,"Lachine, QC H8T 1A4",0731-Managers in transportation,1
,,Sid Lee Inc.,"MONTREAL, QC H3C 2N6","0013-Senior managers - financial, communications and other business services",1
,,Sintra inc,"Montréal, QC H4P 2M9",7521-Heavy equipment operators (except crane),4
,,Société Conseil Groupe LGS,"QUÉBEC, QC G1V 4K5",2171-Information systems analysts and consultants,4
,,,,2173-Software engineers and designers,1
,,,,2174-Computer programmers and interactive media developers,14
,,Sokno Media Inc.,"Montréal, QC H3K 1G6",2175-Web designers and developers,1
,,Solutions XpertSea Inc.,"QUÉBEC, QC G1P 4G4",2173-Software engineers and designers,1
,,SOUCY RIVALAIR INC.,"Drummondville, QC J2C 7R9",7231-Machinists and machining and tooling inspectors,9
,,,,9417-Machining tool operators,1
,,Soudure Hitech Inc.,"MONTRÉAL, QC H1E 1R8",1241-Administrative assistants,1
,,Spectrum Hospitality Canada Co,"ST-JEAN-SUR-RICHELIEU, QC J2X 5P7",0114-Other administrative services managers,3
,,,,0631-Restaurant and food service managers,8
,,,,1226-Conference and event planners,6
,,,,6321-Chefs,7
,,SQALogic Technologies Inc.,"SAINT-ALEXANDRE, QC J0J 1S0",2171-Information systems analysts and consultants,1
,,Studio Illogika Inc.,"Montréal, QC H2T 1A8",2174-Computer programmers and interactive media developers,1
,,Studio Pascal Blais Inc,"MONTREAL, QC H2Y 1X4","5131-Producers, directors, choreographers and related occupations",1
,,Sturo Métal Inc.,"LÉVIS, QC G6Y 9G6",7237-Welders and related machine operators,2
,,Synergie Hunt International,"MONTRÉAL, QC H3A 1E7",1241-Administrative assistants,1
,,Systèmes Danfreight inc.,"Joliette, QC J6E 0L8",7511-Transport truck drivers,16
,,Talsom Inc.,"MONTRÉAL, QC H2Y 1C8",2171-Information systems analysts and consultants,1
,,Technologies Sensopia Inc,"Montréal, QC H2Y 2R6",2174-Computer programmers and interactive media developers,1
,,Théâtre T & Cie inc.,"Montreal, QC H2Y 3E1","5232-Other performers, n.e.c.",4
,,Transmission PL Inc.,"STE-MARIE, QC G6E 2L4","7321-Automotive service technicians, truck and bus mechanics and mechanical repairers",1
,,Transport A. Laberge & Fils Inc.,"Lachine, QC H8S 1A5",7312-Heavy-duty equipment mechanics,5
,,TRANSPORT BOURRET INC,"DRUMMONDVILLE, QC J2B 8G8",7511-Transport truck drivers,6
,,Transport Dercy Inc.,"Beauceville, QC G5X 2S9",7511-Transport truck drivers,1
,,Transport Grayson inc.,"Plessisville, QC G6L 2Y2",7511-Transport truck drivers,7
,,Transport L.F.L. Inc.,"VALLÉE-JONCTION, QC G0S 3J0",7511-Transport truck drivers,7
,,Transport Laplante Et Fils Inc.,"PLAISANCE, QC J0V 1S0",7511-Transport truck drivers,8
,,Tricots Liesse (1983) Inc.,"Montréal, QC H3B 2A1",7311-Construction millwrights and industrial mechanics,1
,,Trisotech Services Conseils en Informatique Inc.,"SAINT-LAURENT, QC H4R 2J8",2232-Mechanical engineering technologists and technicians,1
,,Ubisoft Divertissements Inc.,"Montréal, QC H2T 1S6","4161-Natural and applied science policy researchers, consultants and program officers",1
,,,,5135-Actors and comedians,5
,,,,"5232-Other performers, n.e.c.",1
,,Unito Inc.,"MONTREAL, QC H3B 2E3","0124-Advertising, marketing and public relations managers",1
,,Université de Montréal,"Montréal, QC H3C 3J7",4011-University professors and lecturers,4
,,Université de Sherbrooke,"SHERBROOKE, QC J1K 2R1",3111-Specialist physicians,3
,,Université du Québec à Montréal,"Montréal, QC H2X 3J8",4011-University professors and lecturers,10
,,Université Laval,"QUÉBEC, QC G1V 0A6",4011-University professors and lecturers,4
,,Université McGill,"Montréal, QC H3A 0G4",2112-Chemists,1
,,,,4011-University professors and lecturers,9
,,Usinage Saint-Laurent Inc.,"Sorel-Tracy, QC J3R 1V2",7231-Machinists and machining and tooling inspectors,1
,,USIPRO 03 inc.,"SAINTE-CLAIRE, QC G0R 2V0",2233-Industrial engineering and manufacturing technologists and technicians,1
,,Usitech 2000 Inc.,"Saint-Anselme, QC G0R 2N0",7231-Machinists and machining and tooling inspectors,1
,,Valtech Canada Inc.,"MONTRÉAL, QC H3A 1L4",5241-Graphic designers and illustrators,1
,,Vigilant Global co.,"MONTRÉAL, QC H3G 2W4",1112-Financial and investment analysts,1
,,Ville de Montréal,"MONTRÉAL, QC H2N 1E1",1241-Administrative assistants,1
,,Volta Création inc,"Québec, QC G1K 8G3",5241-Graphic designers and illustrators,3
,,Wax Design Vêtements Imprimés Inc.,"TROIS-RIVIÈRES, QC G9A 3C2",5244-Artisans and craftspersons,1
,,Wrightway Training Ltd,"MONTREAL, QC H3B 1R1",2263-Inspectors in public and environmental health and occupational health and safety,3
,,Xiplink Inc.,"Montréal, QC H2W 1R2",2173-Software engineers and designers,1
,,YamoYamo Cuisine Japonaise,"Saint-Léonard, QC H1S 2V4",6322-Cooks,1
,,Zone3 inc.,"MONTRÉAL, QC H2L 4S5",5225-Audio and video recording technicians,1
,   Low Wage,2639-1862 Québec Inc (Les Planchers bois francs de Wickham),"WICKHAM, QC J0C 1S0","9614-Labourers in wood, pulp and paper processing",4
,,2751-5212 Québec Inc.,"SEPT-ÎLES, QC G4R 2Z8",6322-Cooks,1
,,9042-8160 Québec Inc,"CHICOUTIMI, QC G7H 2A2",6322-Cooks,2
,,9043-4721 Québec,"CHICOUTIMI, QC G7H 2A2",6322-Cooks,2
,,9227-5742 Québec Inc.,"St-Donat, QC J0T 2C0",6332-Bakers,3
,,9284-0602 Québec Inc,"Nicolet, QC J3T 1R6",7511-Transport truck drivers,1
,,9301-8828 Québec Inc.,"Montréal, QC H3N 1B1","6331-Butchers, meat cutters and fishmongers - retail and wholesale",1
,,9326-1519 Québec inc.,"Notre-Dame-des-Prairies, QC J6E 1G1",2242-Electronic service technicians (household and business equipment),1
,,9348-5407 Québec inc,"Dollard-des-Ormeaux, QC H9B 2K4","5254-Program leaders and instructors in recreation, sport and fitness",1
,,Aliments Asta Inc.,"St-Alexandre, QC G0L 2G0","9617-Labourers in food, beverage and associated products processing",10
,,AU RELAIS DE LA PLACE D'ARMES LTÉE,"Québec, QC G1R 3X2",6322-Cooks,1
,,Bleuets Mistassini Ltée,"DOLBEAU-MISTASSINI, QC G8L 5M3","9617-Labourers in food, beverage and associated products processing",5
,,BOA-FRANC S.E.N.C.,"Saint-Georges, QC G5Y 8J5","9614-Labourers in wood, pulp and paper processing",12
,,C.R.H. Oral Design inc.,"Montréal, QC H4P 2C7","3223-Dental technologists, technicians and laboratory assistants",1
,,Canlak Inc.,"DAVELUYVILLE, QC G0Z 1C0",2211-Chemical technologists and technicians,2
,,,,9421-Chemical plant machine operators,7
,,CAVALIA Inc,"MONTRÉAL, QC H2H 2L5",6322-Cooks,1
,,CHEMISES LL LESSARD INC,"ST-JOSEPH, QC G0S 2V0","6342-Tailors, dressmakers, furriers and milliners",3
,,Clermond Hamel Ltée,"SAINT-EPHREM-DE-BEAUCE, QC G0M 1R0",9431-Sawmill machine operators,4
,,Consu-Pak Inc.,"Ste-Clotilde, QC J0L 1W0","9619-Other labourers in processing, manufacturing and utilities",3
,,Convertex Inc.,"PRINCEVILLE, QC G6L 4M1","6342-Tailors, dressmakers, furriers and milliners",2
,,Coopérative des Consommateurs de Lorette,"Québec, QC G2C 0G7","6331-Butchers, meat cutters and fishmongers - retail and wholesale",1
,,Dimension Composite Inc,"St-Georges, QC G5Y 5C2","9535-Plastic products assemblers, finishers and inspectors",4
,,Emblème Canneberge inc.,"QUÉBEC, QC G1V 1W5","9617-Labourers in food, beverage and associated products processing",8
,,Envirostable Inc.,"Carignan, QC J3L 0K4",7511-Transport truck drivers,1
,,Excavation Alain Lemay inc.,"ST-ÉDOUARD DE LOTBINIÈRE, QC G0S 1Y0",7611-Construction trades helpers and labourers,4
,,Gestion Colimat Inc,"MONTREAL, QC H4C 2K1","6711-Food counter attendants, kitchen helpers and related support occupations",3
,,Gestion Sarsfield inc,"QUÉBEC, QC G1R 4L9",6322-Cooks,6
,,GROUPE CHCR INC,"Montréal, QC H4P 1W7",5231-Announcers and other broadcasters,1
,,Groupe Gibo Inc.,"Saint-Pascal, QC G0L 3Y0","6342-Tailors, dressmakers, furriers and milliners",5
,,Groupement forestier Kamouraska Inc.,"St-Alexandre, QC G0L 2G0",8422-Silviculture and forestry workers,4
,,Innovaplan Inc.,"Montréal, QC H1G 5B2",7272-Cabinetmakers,1
,,IT International Telecom Canada Inc.,"POINTE-CLAIRE, QC H9R 1G6",1522-Storekeepers and partspersons,1
,,,,6322-Cooks,2
,,,,6513-Food and beverage servers,4
,,Les 7 doigts de la main (2003) inc.,"MONTRÉAL, QC H2X 2T5","5232-Other performers, n.e.c.",3
,,Les Aliments Trans Gras inc.,"DRUMMONDVILLE, QC J2C 6Z6","9617-Labourers in food, beverage and associated products processing",6
,,Les aliments Whyte's Inc.,"Laval, QC H7L 2N6","9617-Labourers in food, beverage and associated products processing",8
,,Les Fermes Du Soleil Inc.,"Sainte-Clotilde, QC J0L 1W0",7511-Transport truck drivers,1
,,Les Industries P.F. Inc,"Saint-Martin, QC G0M 1B0",9437-Woodworking machine operators,6
,,,,"9614-Labourers in wood, pulp and paper processing",3
,,Les Restaurants Mata inc.,"Sept-Îles, QC G4R 1Z1",6311-Food service supervisors,4
,,Les Structures Ultratec Inc.,"LAURIER-STATION, QC G0S 1N0",7611-Construction trades helpers and labourers,7
,,Les Viandes Lacroix Inc.,"St-Hyacinthe, QC J2S 8E3","9617-Labourers in food, beverage and associated products processing",6
,,Maison Bong (restaurant),"Montréal, QC H2Z 1J4",6322-Cooks,1
,,Marfoglia Ébénisterie Inc.,"MONTRÉAL, QC H1J 1N4",7272-Cabinetmakers,1
,,MBI Plastique inc.,"ST-JOSEPH-DE-BEAUCE, QC G0S 2V0",9615-Labourers in rubber and plastic products manufacturing,2
,,Métal MGMF Inc.,"ST-HONORÉ DE SHENLEY, QC G0M 1V0",7237-Welders and related machine operators,3
,,Meubles BDM + Inc.,"LOUISEVILLE, QC J5V 2L4",6345-Upholsterers,36
,,Modelage Daigle Inc,"PLESSISVILLE, QC G6L 3L6",7232-Tool and die makers,1
,,Olymel S.E.C./L.P.,"ST-HYACINTHE, QC J2S 4B6","9617-Labourers in food, beverage and associated products processing",79
,,Oly-Robi Transformation SEC,"Yamachiche, QC G0X 3L0","9462-Industrial butchers and meat cutters, poultry preparers and related workers",1
,,,,"9617-Labourers in food, beverage and associated products processing",8
,,Onipro Inc.,"Sherrington, QC J0L 2N0","9617-Labourers in food, beverage and associated products processing",3
