"Employers who were Issued a Positive Labour Market Impact Assessment (LMIA) by Stream, National Occupational Classification (NOC) 2011 and Business Location in 2020 (April-June)",,,,,
Province/Territory,Stream,Employer Name,Address,Occupation,Approved Positions
Quebec,    High Wage,CIUSSS Centre-Sud de L'Île de Montréal,"MONTRÉAL, QC H1T 1C2","3413-Nurse aides, orderlies and patient service associates",2
Quebec,    High Wage,CIUSSS de l'EST de l'île de Montréal,"MONTRÉAL, QC H1T 2M4",3012-Registered nurses and registered psychiatric nurses,2
Quebec,    High Wage,CIUSSS du Nord-de-l'Ile-de-Montréal,"MONTRÉAL, QC H4J  1C",3012-Registered nurses and registered psychiatric nurses,6
Quebec,    High Wage,Clôture Alpha inc.,"l'Ancienne Lorette, QC G2G 2P5",7441-Residential and commercial installers and servicers,1
Quebec,    High Wage,Collège des médecins du Québec,"MONTRÉAL, QC H3B 0G2",3111-Specialist physicians,3
Quebec,    High Wage,Commission Scolaire de Montréal,"Montréal, QC H1X 3B3",4031-Secondary school teachers,5
Quebec,    High Wage,Commission Scolaire de Montréal,"Montréal, QC H1X 3B3",4032-Elementary school and kindergarten teachers,53
Quebec,    High Wage,COMPLEXE AUTOMOBILE PREMIER CHOIX MTL INC.,"Montréal, QC H1B 1C4","7321-Automotive service technicians, truck and bus mechanics and mechanical repairers",1
Quebec,    High Wage,Comptoir Agricole Ste-Anne Inc.,"Repentigny, QC J5Z 4X5",7237-Welders and related machine operators,2
Quebec,    High Wage,Concordia University,"Montréal, QC H3H 2T4",4011-University professors and lecturers,2
Quebec,    High Wage,Coopérative de Solidarité Alimentaire de Laval,"Laval, QC H7S 1Z3",6322-Cooks,1
Quebec,    High Wage,Cooptalis Numérique Inc.,"Montréal, QC H2Y 1W8",2174-Computer programmers and interactive media developers,2
Quebec,    High Wage,Creaform Inc.,"LÉVIS, QC G6W 0L9",2253-Drafting technologists and technicians,2
Quebec,    High Wage,DELAFONTAINE INC.,"Sherbrooke, QC J1L 1K4",7237-Welders and related machine operators,3
Quebec,    High Wage,Delom Services inc.,"Montréal, QC H1A 3N6",7333-Electrical mechanics,1
Quebec,    High Wage,Denson Automation Inc.,"Boucherville, QC J4B 1E7",1222-Executive assistants,1
Quebec,    High Wage,Divertissements Gameloft inc,"Montreal, QC H2R 2Z5",5241-Graphic designers and illustrators,1
Quebec,    High Wage,Doucet Machineries inc.,"Daveluyville, QC G0Z 1C0",7231-Machinists and machining and tooling inspectors,1
Quebec,    High Wage,DUPONT MÉTAL INC,"Sainte-Anne-de-la-Pérade, QC G0X 2J0",7237-Welders and related machine operators,3
Quebec,    High Wage,Fablab inc.,"Montréal, QC H2G 1Y9",2173-Software engineers and designers,1
Quebec,    High Wage,Fédération des caisses Desjardins du Québec,"Lévis, QC G6V 7N5",1225-Purchasing agents and officers,1
Quebec,    High Wage,FESTIVAL TRANSAMÉRIQUES INC,"Montreal, QC H5B 1C3",5241-Graphic designers and illustrators,1
Quebec,    High Wage,Garage Azores Inc.,"Montréal, QC H2G 3A6",7322-Motor vehicle body repairers,1
Quebec,    High Wage,GARAGE CHAREST & FRÈRES INC.,"TROIS-RIVIERES, QC G9A 4L5","7321-Automotive service technicians, truck and bus mechanics and mechanical repairers",4
Quebec,    High Wage,GARAGE CLAUDE DALLAIRE & FILS INC,"ST-MATHIEU-DE-BELOEIL, QC J3G 4S5","7321-Automotive service technicians, truck and bus mechanics and mechanical repairers",4
Quebec,    High Wage,Garage R tessier inc.,"la tuque, QC G9X 3C4","7321-Automotive service technicians, truck and bus mechanics and mechanical repairers",1
Quebec,    High Wage,Gestion Transport A. Laberge et Fils Inc,"MONT-SAINT-GRÉGOIRE, QC J0J 1K0","7321-Automotive service technicians, truck and bus mechanics and mechanical repairers",1
Quebec,    High Wage,GFL Environmental inc,"Boucherville, QC J4B 6A5",7312-Heavy-duty equipment mechanics,1
Quebec,    High Wage,Goberce Inc.,"Daveluyville, QC G0Z 1C0","6342-Tailors, dressmakers, furriers and milliners",1
Quebec,    High Wage,Gomel Inc,"Saint-Bruno, QC J3V 6H6",7511-Transport truck drivers,5
Quebec,    High Wage,Gosselin Express Ltée,"Thetford Mines, QC G6G 5S5",7511-Transport truck drivers,6
Quebec,    High Wage,Grondin Transport inc.,"St-Frédéric, QC G0N 1P0","2271-Air pilots, flight engineers and flying instructors",1
Quebec,    High Wage,Group Aecon Quebec Ltee,"Montreal, QC H3A 1T8","0016-Senior managers - construction, transportation, production and utilities",1
Quebec,    High Wage,Group Aecon Quebec Ltee,"Montreal, QC H3A 1T8",0711-Construction managers,1
Quebec,    High Wage,Groupe Conseil I.D.C. Inc.,"La Pocatière, QC G0R 1Z0",2281-Computer network technicians,1
Quebec,    High Wage,Groupe JL Leclerc Inc.,"SAINT-ANTOINE-DE-TILLY, QC G0S  2C",7322-Motor vehicle body repairers,1
Quebec,    High Wage,Groupe RPS Inc.,"PIERREVILLE, QC J0G 1J0",7237-Welders and related machine operators,2
Quebec,    High Wage,Groupe Woodchuck inc.,"Cowansville, QC J2K 5B1","8255-Contractors and supervisors, landscaping, grounds maintenance and horticulture services",1
Quebec,    High Wage,Gurit Tooling (Americas) Inc.,"Montréal, QC H4T 1E7",2241-Electrical and electronics engineering technologists and technicians,1
Quebec,    High Wage,Industries Fabkor inc.,"ST-GABRIEL-DE-BRANDON, QC J0K 2N0",7237-Welders and related machine operators,2
Quebec,    High Wage,Institut de Cardiologie de Montréal,"Montréal, QC H1T 1C8",3012-Registered nurses and registered psychiatric nurses,1
Quebec,    High Wage,Institut universitaire de cardiologie et de pneumologie de Québec,"Québec, QC G1V 4G5",3012-Registered nurses and registered psychiatric nurses,3
Quebec,    High Wage,Intermark Transport INC,"La Prairie,, QC J5R 6W9",7511-Transport truck drivers,16
Quebec,    High Wage,Intral Inc.,"PRINCEVILLE, QC G6L 4M3",7231-Machinists and machining and tooling inspectors,1
Quebec,    High Wage,IT International Telecom Canada Inc.,"Pointe-Claire, QC H9R  1G","2273-Deck officers, water transport",2
Quebec,    High Wage,IT International Telecom Canada Inc.,"Pointe-Claire, QC H9R  1G","2274-Engineer officers, water transport",4
Quebec,    High Wage,IT International Telecom Canada Inc.,"Pointe-Claire, QC H9R  1G",7242-Industrial electricians,2
Quebec,    High Wage,IT International Telecom Canada Inc.,"Pointe-Claire, QC H9R  1G",7244-Electrical power line and cable workers,3
Quebec,    High Wage,IT International Telecom Canada Inc.,"Pointe-Claire, QC H9R  1G",7271-Carpenters,1
Quebec,    High Wage,IT International Telecom Canada Inc.,"Pointe-Claire, QC H9R  1G","7384-Other trades and related occupations, n.e.c.",1
Quebec,    High Wage,IT International Telecom Canada Inc.,"Pointe-Claire, QC H9R  1G",7532-Water transport deck and engine room crew,18
Quebec,    High Wage,JPMA GLOBAL INC.,"Montreal, QC H1E 3T5",7237-Welders and related machine operators,6
Quebec,    High Wage,JPMA GLOBAL INC.,"Montreal, QC H1E 3T5",7272-Cabinetmakers,13
Quebec,    High Wage,la meunerie st-patrice inc.,"ST-PATRICE, QC G0S 1B0","9461-Process control and machine operators, food, beverage and associated products processing",1
Quebec,    High Wage,la meunerie st-patrice inc.,"ST-PATRICE, QC G0S 1B0","9617-Labourers in food, beverage and associated products processing",1
Quebec,    High Wage,La Société Sword Inc.,"Montréal, QC H2Y 1W4",1222-Executive assistants,1
Quebec,    High Wage,L'Académie St Jean inc.,"Saint-Jean-sur-Richelieu, QC J3B 1Z8",4214-Early childhood educators and assistants,1
Quebec,    High Wage,Le Bouvier inc.,"Québec, QC G2J 1A3",6322-Cooks,2
Quebec,    High Wage,Le Drummondvillois (2014) inc.,"Drummondville, QC J2C 2A8",6322-Cooks,1
Quebec,    High Wage,Le Gauvinois (2014) inc.,"Québec, QC G1X 4Y5",6322-Cooks,1
Quebec,    High Wage,Le Port-Jolien (2014) Inc.,"QUÉBEC, QC G2B 1B3",6322-Cooks,1
Quebec,    High Wage,Le Rimouskais (2014) Inc,"QUÉBEC, QC G2B 1B3",6322-Cooks,2
Quebec,    High Wage,Le Riveloup (2014) inc.,"Rivière-du-Loup, QC G5R 2N1",6322-Cooks,2
Quebec,    High Wage,LE SHACK DU MONT-TREMBLANT INC.,"Mont-Tremblant, QC J8E 1E1",6322-Cooks,4
Quebec,    High Wage,Le STJC inc.,"Lévis, QC G6Z 2C1",6322-Cooks,1
Quebec,    High Wage,"Les Assurances Boyer, Tessier Inc.","Joliette, QC J6E 3G1",6231-Insurance agents and brokers,1
Quebec,    High Wage,Les Entreprises L. & C. Jolibois Inc.,"Drummondville, QC J2B 7E9","7321-Automotive service technicians, truck and bus mechanics and mechanical repairers",1
Quebec,    High Wage,Les Entreprises Marvais Inc,"Boucherville, QC J4B 5E4",6311-Food service supervisors,3
Quebec,    High Wage,Les équipements d'érabli`ère CDL inc.,"La Guadeloupe, QC G0M 1G0",2243-Industrial instrument technicians and mechanics,1
Quebec,    High Wage,Les industries Technopaint inc.,"Ste-Clotilde, QC G0N 1C0","9226-Supervisors, other mechanical and metal products manufacturing",1
Quebec,    High Wage,Les Pierres Technoprofil Inc.,"Lévis, QC G7A 2N1","9414-Concrete, clay and stone forming operators",2
Quebec,    High Wage,Les Services Conseils Systematix,"QUÉBEC, QC G1V 4W2",2171-Information systems analysts and consultants,1
Quebec,    High Wage,Les Services Conseils Systematix,"QUÉBEC, QC G1V 4W2",2174-Computer programmers and interactive media developers,1
Quebec,    High Wage,Les Studios Moment Factory Inc.,"Montréal, QC H2V 4H8","5131-Producers, directors, choreographers and related occupations",1
Quebec,    High Wage,LNLC inc.,"Québec, QC G2K 1L9",3231-Opticians,1
Quebec,    High Wage,Location Brossard Inc,"Dorval, QC H9P 1J7","7321-Automotive service technicians, truck and bus mechanics and mechanical repairers",1
Quebec,    High Wage,Location et entretien R et R Inc,"Dorval, QC H9P 3A1","7321-Automotive service technicians, truck and bus mechanics and mechanical repairers",1
Quebec,    High Wage,Loyal Express Frigorifique Inc.,"Dorval, QC H9P 1E7",7511-Transport truck drivers,21
Quebec,    High Wage,Ludia inc,"Montreal, QC H2Y 2P5",2174-Computer programmers and interactive media developers,1
Quebec,    High Wage,Maintenance Industries Meca-Fab inc.,"Saint-Bruno-de-Montarville, QC J3V 6B9",7333-Electrical mechanics,1
Quebec,    High Wage,MANAC INC,"St-Georges de Beauce, QC G5Y 8G6",7237-Welders and related machine operators,3
Quebec,    High Wage,MANAC INC,"St-Georges de Beauce, QC G5Y 8G6",7312-Heavy-duty equipment mechanics,3
Quebec,    High Wage,MANAC INC,"St-Georges de Beauce, QC G5Y 8G6",9526-Mechanical assemblers and inspectors,1
Quebec,    High Wage,Manac Inc.,"St-Georges de Beauce, QC G5Y 8G6","9522-Motor vehicle assemblers, inspectors and testers",1
Quebec,    High Wage,Marcarko Ltée,"Montréal, QC H2N 2J2",1222-Executive assistants,1
Quebec,    High Wage,Marché Al Amine Inc.,"Laval, QC H7G 2V9","6331-Butchers, meat cutters and fishmongers - retail and wholesale",1
Quebec,    High Wage,Mecachrome Canada Inc.,"Mirabel, QC J7N 3L3",7231-Machinists and machining and tooling inspectors,1
Quebec,    High Wage,Mediaclip Inc.,"Montréal, QC H2R 3A4",2175-Web designers and developers,1
Quebec,    High Wage,Métal 7 Inc.,"Sept-Îles, QC G4R 4X9",7311-Construction millwrights and industrial mechanics,2
Quebec,    High Wage,Métal Marquis Inc,"La Sarre, QC J9Z 2L1",7231-Machinists and machining and tooling inspectors,3
Quebec,    High Wage,Métal Marquis Inc,"La Sarre, QC J9Z 2L1",7237-Welders and related machine operators,4
Quebec,    High Wage,Métal Marquis Inc,"La Sarre, QC J9Z 2L1",7312-Heavy-duty equipment mechanics,1
Quebec,    High Wage,Métal Marquis Inc,"La Sarre, QC J9Z 2L1",9416-Metalworking and forging machine operators,2
Quebec,    High Wage,Métallurgie Castech Inc.,"Thetford Mines, QC G6G 7M8",7311-Construction millwrights and industrial mechanics,1
Quebec,    High Wage,Myk Fabrication Inc.,"Joncquière, QC G7X 0G1",7237-Welders and related machine operators,4
Quebec,    High Wage,N&N Remorques inc.,"Saint-Germain-de-Grantham, QC J0C 1K0",7237-Welders and related machine operators,1
Quebec,    High Wage,Nebula Ai Inc,"Chambly, QC J3L 0B8",2174-Computer programmers and interactive media developers,1
Quebec,    High Wage,Nuance Communications Canada Inc.,"Montréal, QC H3A 3S7",2171-Information systems analysts and consultants,1
Quebec,    High Wage,Oligo Médic inc.,"Laval, QC H7V 5B7",2134-Chemical engineers,1
Quebec,    High Wage,OnePoint Canada Inc.,"MONTRÉAL, QC H3B 1K9",2171-Information systems analysts and consultants,1
Quebec,    High Wage,Paradigme3 inc.,"SAINTE-MARIE, QC G6E 3S5",2174-Computer programmers and interactive media developers,1
Quebec,    High Wage,PBI Experts Conseils Inc.,"Longueuil, QC J4G  1R",2282-User support technicians,1
Quebec,    High Wage,Plastiques Moore Inc.,"Saint-Damien, QC G0R 2Y0",7231-Machinists and machining and tooling inspectors,2
Quebec,    High Wage,Plastiques Moore Inc.,"Saint-Damien-de-Buckland, QC G0R 2Y0",7231-Machinists and machining and tooling inspectors,3
Quebec,    High Wage,Plate 2000 inc.,"SAINT-ANSELME, QC G0R 2N0",7231-Machinists and machining and tooling inspectors,1
Quebec,    High Wage,Pomerleau inc.,"Saint-Georges, QC G5Y 0H1",0711-Construction managers,1
Quebec,    High Wage,Premier Aviation Quebec inc.,"Quebec, QC G2G 2S6",7315-Aircraft mechanics and aircraft inspectors,3
Quebec,    High Wage,Prival ODC Inc.,"Brossard, QC J4Z 3V4",2281-Computer network technicians,1
Quebec,    High Wage,Produits American Biltrite Ltée,"Sherbrooke, QC J1H 4K3",7333-Electrical mechanics,1
Quebec,    High Wage,RAD Technologies Inc,"Thetford Mines, QC G6G 5R7",7237-Welders and related machine operators,9
Quebec,    High Wage,Rasakti Inc,"Saint-Germain-de-Grantham, QC J0C 1K0",7231-Machinists and machining and tooling inspectors,1
Quebec,    High Wage,Réjean Thibault Automibiles Inc.,"Amos, QC J9T 2J8","7321-Automotive service technicians, truck and bus mechanics and mechanical repairers",1
Quebec,    High Wage,Réjean Thibault Automibiles Inc.,"Amos, QC J9T 2J8",7322-Motor vehicle body repairers,1
Quebec,    High Wage,renald toussaint construction inc,"rouyn-noranda, QC J9Y 0C8",7237-Welders and related machine operators,1
Quebec,    High Wage,René Hamel  Autos Inc,"St-Agapit, QC G0S 1Z0",7322-Motor vehicle body repairers,1
Quebec,    High Wage,Restaurant Alauzon (2014) inc.,"lévis, QC G6V 7A3",6322-Cooks,1
Quebec,    High Wage,Restaurant BDJ (2014) Inc.,"Québec, QC G1G 3Z2",6322-Cooks,1
Quebec,    High Wage,RESTAURANT COCO PAZZO,"Mont-Tremblant, QC J8E 1E2",6322-Cooks,3
Quebec,    High Wage,Restaurant La Rochette (2014) Inc.,"QUÉBEC, QC G2B 1B3",6322-Cooks,1
Quebec,    High Wage,Restaurant Le CHNY inc.,"Lévis, QC G6X 1X6",6322-Cooks,1
Quebec,    High Wage,Restaurant Le Mont-Jolien Inc.,"QUÉBEC, QC G2B 1B3",6322-Cooks,1
Quebec,    High Wage,Restaurant Le Taj,"Montreal, QC H3A 1R7",6321-Chefs,4
Quebec,    High Wage,Restaurant Lévisien inc.,"Lévis, QC G6V 9J6",6322-Cooks,1
Quebec,    High Wage,Restaurant Montmagny (2014) Inc.,"QUÉBEC, QC G2B 1B3",6322-Cooks,1
Quebec,    High Wage,Restaurant Normandie,"Beauceville, QC G5X 1M4",6321-Chefs,2
Quebec,    High Wage,Restaurant Normandin (2014) inc.,"Saint-Hyacinthe, QC J2S 8Y4",6322-Cooks,1
Quebec,    High Wage,Restaurant Normandin Ste-Foy (2014) inc.,"Québec, QC G1V 1T5",6322-Cooks,2
Quebec,    High Wage,Resto Pub L'Immedia inc,"Québec, QC G1X 4Y5",6322-Cooks,4
Quebec,    High Wage,Rotobec inc.,"Sainte-Justine, QC G0R 1Y0",7231-Machinists and machining and tooling inspectors,1
Quebec,    High Wage,Rotobec inc.,"Sainte-Justine, QC G0R 1Y0",7237-Welders and related machine operators,1
Quebec,    High Wage,Rotobec inc.,"Sainte-Justine, QC G0R 1Y0",9416-Metalworking and forging machine operators,1
Quebec,    High Wage,Scanline VFX Montreal Inc.,"MONTRÉAL, QC H3B 2S2",5241-Graphic designers and illustrators,1
Quebec,    High Wage,SEMS inc,"salaberry de valleyfield, QC J6T 6G3",7237-Welders and related machine operators,1
Quebec,    High Wage,Senibor inc.,"MONTRÉAL, QC H4G 1V7",1222-Executive assistants,1
Quebec,    High Wage,Service alimentaire Gordon - Division Québec,"Québec, QC G2C 2E2",7511-Transport truck drivers,6
Quebec,    High Wage,Service alimentaire Gordon Ltée,"Boucherville, QC J4B 7Z1",7511-Transport truck drivers,11
Quebec,    High Wage,Service d'équipement G.D. Inc.,"Saint-Augstin-de-Desmaures, QC G3A 1S4",2252-Industrial designers,1
Quebec,    High Wage,Services et Solutions TWM Canada Inc.,"Montréal, QC H2Y 1T4",2171-Information systems analysts and consultants,1
Quebec,    High Wage,Sesame Atwater INC.,"Montréal, QC H3J 2Z8",6322-Cooks,1
Quebec,    High Wage,sgt 2000 inc,"St. Germain, QC J0C 1K0",7312-Heavy-duty equipment mechanics,5
Quebec,    High Wage,sgt 2000 inc,"St. Germain, QC J0C 1K0",7511-Transport truck drivers,5
Quebec,    High Wage,Signal Space Inc,"Montreal, QC H2Y 1A3",2174-Computer programmers and interactive media developers,1
Quebec,    High Wage,Structure BRL Inc.,"Drummondville, QC J2C 7V5",7237-Welders and related machine operators,1
Quebec,    High Wage,Summa Architectural & Structural Metal Inc.,"Terrebonne, QC J6X 4J8",7235-Structural metal and platework fabricators and fitters,4
Quebec,    High Wage,Supermétal Québec inc.,"Lévis, Québec, QC G6W 5M6",7237-Welders and related machine operators,20
Quebec,    High Wage,Systèmes Danfreight Inc.,"Joliette, QC J6E 0L8",7511-Transport truck drivers,2
Quebec,    High Wage,Tenco Inc.,"St-Valérien-de-Milton, QC J0H 2B0",7237-Welders and related machine operators,1
Quebec,    High Wage,TJB Inc,"ST-CHRYSOSTOME, QC J0S 1R0",7511-Transport truck drivers,11
Quebec,    High Wage,TouchTunes Digital Jukebox Inc.,"Montréal, QC H2R  3A",2174-Computer programmers and interactive media developers,1
Quebec,    High Wage,Trans Tenor Inc.,"Anjou, QC H1J 2E8","7321-Automotive service technicians, truck and bus mechanics and mechanical repairers",1
Quebec,    High Wage,Trans-Inter F&M Inc.,"Laval, QC H7R 1L5",7511-Transport truck drivers,2
Quebec,    High Wage,Transport Bourret Inc.,"Drummondville, QC J2B 8G8",7511-Transport truck drivers,1
Quebec,    High Wage,TRANSPORT DERCY INC,"BEAUCEVILLE, QC G5X 2S9",7511-Transport truck drivers,1
Quebec,    High Wage,Transport Explorer Inc,"Laval, QC H7P 5P6",7511-Transport truck drivers,1
Quebec,    High Wage,TRANSPORT FRANCISCO BONDS INC,"LAVAL, QC H7L 4H4","7321-Automotive service technicians, truck and bus mechanics and mechanical repairers",1
Quebec,    High Wage,Transport Laplante Et fils Inc.,"Plaisance, QC J0V 1S0",7511-Transport truck drivers,9
Quebec,    High Wage,Transport Robert Spécialisé Inc.,"ROUGEMONT, QC J0L 1M0",7511-Transport truck drivers,2
Quebec,    High Wage,Transport SAF inc,"St-Célestin, QC J0C 1G0","7321-Automotive service technicians, truck and bus mechanics and mechanical repairers",1
Quebec,    High Wage,Transport St-Viateur Inc.,"SAINT-CUTHBERT, QC J0K 2C0",7511-Transport truck drivers,4
