"Employers who were issued a positive Labour Market Impact Assessment (LMIA) by Stream, National Occupational Classification (NOC) 2011 and business location in 2018 (October-December)",,,,,
Province/Territory,Stream,Employer,Address,Occupaitons under NOC 2011,Approved Positions
,,Estampro Inc,"St-Évariste, QC G0M 1S0",7231-Machinists and machining and tooling inspectors,6
,,,,7237-Welders and related machine operators,6
,,Eudonet Canada,"MONTRÉAL, QC H2R 2Y8",2171-Information systems analysts and consultants,1
,,Exagens Corp.,"Montreal, QC H2Y 1Z5",2174-Computer programmers and interactive media developers,1
,,EXFO INC.,"Québec, QC G1M 2K2",2173-Software engineers and designers,1
,,Explorance inc.,"Montreal, QC H3A 1T1",6221-Technical sales specialists - wholesale trade,1
,,Fédération des caisses Desjardins du Québec,"MONTRÉAL, QC H5B 1B2",6235-Financial sales representatives,1
,,Fer et métal Ste-Agathe Inc.,"LACHINE, QC H8S 2K9",7231-Machinists and machining and tooling inspectors,1
,,Ferme g.e.c inc.,"St-Frédéric, QC G0N 1P0","7321-Automotive service technicians, truck and bus mechanics and mechanical repairers",1
,,FIREGRILL RESTAURANT & BAR (9174-0738 QUÉBEC INC.),"montreal, QC H3A 1P7",6321-Chefs,1
,,Folen Inc.,"Baie St-Paul, QC G3Z 1M3",6322-Cooks,2
,,Forages Technic-Eau Inc.,"SHERBROOKE, QC J1R 0P4",7373-Water well drillers,2
,,GARAGE TARDIF LIMITÉE,"AMOS, QC J9T 1N1","7321-Automotive service technicians, truck and bus mechanics and mechanical repairers",4
,,Garderie Montessori du Connaught Inc.,"GATINEAU, QC J9H 0J3",4214-Early childhood educators and assistants,1
,,GAREAU AUTO INC.,"VAL-D'OR, QC J9P 0J6","7321-Automotive service technicians, truck and bus mechanics and mechanical repairers",3
,,GDG informatique et Gestion,"QUÉBEC, QC G1K 9C5",2171-Information systems analysts and consultants,4
,,Gearbox Studio Québec Inc.,"Québec, QC G1K 8G3",5241-Graphic designers and illustrators,1
,,GÉO-TECHNOLOGIES CIRIL INC.,"MONTRÉAL, QC H2J 2L1",0213-Computer and information systems managers,1
,,Gestion Alimentaire D.L. Inc.,"ST-CYRILLE-DE-WENDOVER, QC J1Z 1G8",0631-Restaurant and food service managers,1
,,Gestion B.S.P. Inc.,"QUÉBEC, QC G1K 3T6",2171-Information systems analysts and consultants,1
,,Gestisoft Inc.,"Montréal, QC H3C 2M7",2171-Information systems analysts and consultants,1
,,GHA DESIGN STUDIOS,"Montréal, QC H3B 2S2",5241-Graphic designers and illustrators,1
,,Gordon Food Service Canada Ltd.,"QUÉBEC, QC G2C 2E2",7514-Delivery and courier service drivers,7
,,Graphiques Matrox Inc.,"Montréal, QC H3A 1T1",6221-Technical sales specialists - wholesale trade,1
,,Groupe Atallah inc./SSENSE,"Montréal, QC H2N 2E7","5232-Other performers, n.e.c.",8
,,Groupe Conseil Fxinnovation Inc.,"MONTRÉAL, QC H3A 1L4",2282-User support technicians,1
,,Groupe Dynamite inc,"Ville Mont-Royal, QC H4P 1M2",2174-Computer programmers and interactive media developers,1
,,Groupe Estelle de France Inc.,"MONTRÉAL, QC H2N 1N7",0621-Retail and wholesale trade managers,1
,,Groupe Gorilla Canada Inc. / Gorilla Group Canada inc.,"Montreal, QC H2Y 2W8",2282-User support technicians,1
,,Groupe Meloche Inc.,"Valleyfield, QC J6T 6G3",1225-Purchasing agents and officers,1
,,Groupe Nexio Inc.,"Montréal, QC H3A 2J5",0213-Computer and information systems managers,2
,,,,2281-Computer network technicians,1
,,Gurit Outillage (Americas) Inc.,"SAINT-LAURENT, QC H4T 1E7",2232-Mechanical engineering technologists and technicians,1
,,H. Cloutier Automobiles Inc. (Amos Mazda),"AMOS, QC J9T 1N2","7321-Automotive service technicians, truck and bus mechanics and mechanical repairers",1
,,HAIVISION SYSTEMS INC.,"SAINT-LAURENT, QC H4R 2H9","0124-Advertising, marketing and public relations managers",1
,,IbexComm Importation et Exportation Inc.,"SAINT-LAURENT, QC H4R 1E6",1241-Administrative assistants,1
,,Incloud Solutions d'affaires inc,"MONTREAL, QC H2Z 1S8",2171-Information systems analysts and consultants,1
,,Indigo Parc Canada Inc..,"MONTREAL, QC H2B 2A7",1241-Administrative assistants,1
,,Industek Inc.,"VICTORIAVILLE, QC G6T 2G8",7237-Welders and related machine operators,2
,,Industrielle Alliance Assurance Auto et Habitation,"QUÉBEC, QC G1S 1C1",2174-Computer programmers and interactive media developers,1
,,Industries Canatal Inc.,"Thetford Mines, QC G6G 6P6",7237-Welders and related machine operators,1
,,Industries Fabkor Inc.,"St-Gabriel-de-Brandon, QC J0K 2N0",7237-Welders and related machine operators,5
,,,,"9536-Industrial painters, coaters and metal finishing process operators",1
,,Industries Moreau,"ROUYN NORANDA, QC J9X 6T3",7237-Welders and related machine operators,2
,,,,7312-Heavy-duty equipment mechanics,1
,,Industries MT inc.,"THETFORD MINE, QC G6G 8B2",7237-Welders and related machine operators,4
,,Industries Valtech Inc.,"Salaberry-de-Valleyfield, QC J6T 6G4",7237-Welders and related machine operators,2
,,"IRIS, Le Groupe Visuel (1990) Inc.","LAVAL, QC H7T 2P5",3121-Optometrists,1
,,IT International Telecom Canada Inc.,"POINTE-CLAIRE, QC H9R 1G6",2113-Geoscientists and oceanographers,1
,,Ixtrom Group inc.,"Magog, QC J1X 2B3",5241-Graphic designers and illustrators,1
,,JitiSoft Inc.,"Montréal, QC H1E 2S4",2174-Computer programmers and interactive media developers,1
,,KeaText inc.,"MONTRÉAL, QC H2T 2A4",2175-Web designers and developers,1
,,Kronos Canadian Systems Inc.,"Montreal, QC H3V 1H8",2174-Computer programmers and interactive media developers,1
,,La compagnie Americaine de Fer et Métaux Inc.,"Montréal, QC H1E 2S4",7311-Construction millwrights and industrial mechanics,4
,,,,7312-Heavy-duty equipment mechanics,7
,,La Maison Simons,"MONTRÉAL, QC H2V 4M1",5221-Photographers,1
,,,,"5232-Other performers, n.e.c.",13
,,Laboratoire Dentaire Rema-Dents inc.,"SAINT-HYACINTHE, QC J2R 1G5",1241-Administrative assistants,1
,,Landr Audio Inc,"Montréal, QC H2T 1A8",2173-Software engineers and designers,1
,,Larochelle Groupe Conseil Inc.,"Montréal, QC H3B 2N2",2171-Information systems analysts and consultants,3
,,Le Centre du Camion (Beauce) inc.,"SAINT-GEORGES, QC G6A  1K","7321-Automotive service technicians, truck and bus mechanics and mechanical repairers",1
,,LEDAAN INTERIEURS INC,"Montréal, QC H1E 6J8",2253-Drafting technologists and technicians,1
,,Les Aliments Taquerias Del Rey Inc.,"Laval, QC H7R 3B4",6321-Chefs,1
,,Les Cimentiers Morissette Inc,"ST-HYACINTHE, QC J2T 5G6","1215-Supervisors, supply chain, tracking and scheduling co-ordination occupations",1
,,Les Constructions PRO-TEC-TOIT Inc.,"QUÉBEC, QC G1M 3G8",2234-Construction estimators,1
,,Les Emballages Winpak Heat Seal Inc.,"Vaudreuil-Dorion, QC J7V 8P7",2134-Chemical engineers,1
,,Les Entreprises de Communication Tank Inc.,"Montréal, QC H3C 2M7","0124-Advertising, marketing and public relations managers",1
,,Les Entreprises Getpaq Inc.,"MONTRÉAL, QC H1E 7J8",1241-Administrative assistants,1
,,Les Industries Amisco,"L'Islet, QC G0R 2C0",7231-Machinists and machining and tooling inspectors,1
,,,,7237-Welders and related machine operators,8
,,Les industries G.E. Gilbert inc.,"Sherbrooke, QC J1L 1V9",2232-Mechanical engineering technologists and technicians,1
,,,,7231-Machinists and machining and tooling inspectors,2
,,Les sables olimag inc.,"Thetford Mines, QC G6G 6P6",7311-Construction millwrights and industrial mechanics,4
,,Les Services Conseils Systématix Inc.,"QUÉBEC, QC G1V 4W2",2171-Information systems analysts and consultants,1
,,,,2174-Computer programmers and interactive media developers,6
,,Les Studios Bethesda Montréal Inc.,"Montréal, QC H3C 2M7",2174-Computer programmers and interactive media developers,1
,,Liard Industries Inc.,"JOLIETTE, QC J6E 4B7",7231-Machinists and machining and tooling inspectors,2
,,"L'industrielle Alliance, Assurances et services","Québec, QC G1K 7M3",2171-Information systems analysts and consultants,1
,,,,2174-Computer programmers and interactive media developers,2
,,Luxmajor Inc.,"MONTRÉAL, QC H2J 2L1","0124-Advertising, marketing and public relations managers",1
,,Luxury Retreats International,"MONTRÉAL, QC H4E 1A8","0124-Advertising, marketing and public relations managers",2
,,M32 Média Inc.,"MONTRÉAL, QC H3C 2G9",2174-Computer programmers and interactive media developers,1
,,Machinerie Agricole Bois-Franc Inc.,"WARWICK, QC J0A 1M0",7237-Welders and related machine operators,8
,,,,7311-Construction millwrights and industrial mechanics,5
,,MacKinnon Bennett & Compagnie Inc.,"MONTRÉAL, QC H3B 3P2",1112-Financial and investment analysts,1
,,Manac Inc.,"St-Georges de Beauce, QC G5Y 8G6",7237-Welders and related machine operators,8
,,Manulift E.M.I. Ltd.,"QUÉBEC, QC G3A 1S4",7312-Heavy-duty equipment mechanics,1
,,Marmen Énergie Inc.,"Matane, QC G4W 3N1",7237-Welders and related machine operators,4
,,Marmen Inc.,"TROIS-RIVIÈRES, QC G8T 8Y8",7231-Machinists and machining and tooling inspectors,4
,,,,7237-Welders and related machine operators,3
,,Matiss Inc.,"SAINT-GEORGES, QC G6A 1K5",7231-Machinists and machining and tooling inspectors,3
,,MBI Plastique inc.,"ST-JOSEPH-DE-BEAUCE, QC G0S 2V0",2233-Industrial engineering and manufacturing technologists and technicians,2
,,Mecan Hydro Inc.,"GRANBY, QC J2J 2V2",7237-Welders and related machine operators,1
,,Metalliage Inc.,"Saint-Hubert, QC J3Y 2S3","1215-Supervisors, supply chain, tracking and scheduling co-ordination occupations",1
,,Micro-Onde Alga inc,"Kirkland, QC H9H 5M8",2173-Software engineers and designers,1
,,Milan Conception Inc,"Sherbrooke, QC J1L 0A3",2232-Mechanical engineering technologists and technicians,2
,,Milident Inc.,"Gatineau, QC J8Z 3G4","3223-Dental technologists, technicians and laboratory assistants",1
,,Momentum Technologies inc.,"Québec, QC G2J 0B9",2171-Information systems analysts and consultants,1
,,,,2174-Computer programmers and interactive media developers,6
,,MS Solutions Équipements Inc.,"QUÉBEC, QC G1P 4S8",2171-Information systems analysts and consultants,1
,,Multiusinage Inc.,"CHICOUTIMI, QC G7J 5A9",7231-Machinists and machining and tooling inspectors,3
,,Musée de la femme,"LONGUEUIL, QC J4L 1V9",5241-Graphic designers and illustrators,1
,,Mutek OBNL,"Montréal, QC H5B 1B9","1123-Professional occupations in advertising, marketing and public relations",1
,,Newtrax Technologies Inc.,"MONTRÉAL, QC H2Y 1P5",2173-Software engineers and designers,1
,,Nicol Auto Inc.,"LA SARRE, QC J9Z 2J1","7321-Automotive service technicians, truck and bus mechanics and mechanical repairers",5
,,Novigo Consulting Canada inc.,"Montréal, QC H3B 2E3",2171-Information systems analysts and consultants,2
,,Nutech inc.,"Disraeli, QC G0N 1E0",7231-Machinists and machining and tooling inspectors,1
,,Oblik Communication design inc.,"MONTRÉAL, QC H1Y 1Z9",5241-Graphic designers and illustrators,1
,,Olympus NDT Canada Inc,"Québec, QC G1P 0B3",2132-Mechanical engineers,1
,,,,2173-Software engineers and designers,1
,,,,2174-Computer programmers and interactive media developers,1
,,OpenFrame Technologies inc.,"Kirkland, QC H9H 5B9",1225-Purchasing agents and officers,1
,,Outillages K & K Ltee,"Saint-Jean-sur-Richelieu, QC J3B 2H7",7231-Machinists and machining and tooling inspectors,3
,,P.A.I.R. Inc.,"MONTRÉAL, QC H2L 4A5",1523-Production logistics co-ordinators,1
,,Par B.L.eux,"MONTRÉAL, QC H2T 1X6",1241-Administrative assistants,1
,,Parfum de Corée Inc.,"RIMOUSKI, QC G5L 4B6",6322-Cooks,1
,,Patio Drummond Ltée,"Drummondville, QC J2A 3W8",7312-Heavy-duty equipment mechanics,1
,,Paysafe Technologies inc.,"MONTREAL, QC H3Z 3C1",2173-Software engineers and designers,1
,,Petrie Raymond s.e.n.c.rl.,"MONTREAL, QC H2M 1L5",1241-Administrative assistants,1
,,Phoenix Gestion Mobilité Internationale,"Montréal, QC H3X 2H9",1241-Administrative assistants,1
,,PIAZZETTA ST-LOUIS INC,"QUÉBEC, QC G1W 1L8",6322-Cooks,1
,,Plastiques Moore Inc.,"Saint-Damien-de-Buckland, QC G0R 2Y0",7231-Machinists and machining and tooling inspectors,2
,,Plate 2000 inc,"St-Anselme, QC G0R 2N0",7231-Machinists and machining and tooling inspectors,1
,,,,7237-Welders and related machine operators,2
,,Playtika (Canada) Inc,"MONTREAL, QC H3B 4W5",0213-Computer and information systems managers,1
,,Pomerleau Inc,"MONTRÉAL, QC H2Y 0A2",2131-Civil engineers,1
,,Premier Tech Home & Garden Inc,"Rivière-du-Loup, QC G5R 6C1",1111-Financial auditors and accountants,1
,,Prince Logistic Services,"LACHINE, QC H8R 1H3",7312-Heavy-duty equipment mechanics,1
,,,,7511-Transport truck drivers,12
,,PRO-AB ÉQUIPEMENTS 2003 INC,"VAL-D'OR, QC J9P 7B1",2253-Drafting technologists and technicians,1
,,,,7312-Heavy-duty equipment mechanics,2
,,Processia Solutions Canada Inc.,"Laval, QC H7T 2Z5",2173-Software engineers and designers,1
,,Produits Matra Inc.,"Saint-Martin, QC G0M 1B0",7333-Electrical mechanics,2
,,PROJETS NOVOPRO INC. (Les),"Montreal, QC H3G 1J1",2132-Mechanical engineers,1
,,Qualtech inc,"QUÉBEC, QC G1N 4K3",7237-Welders and related machine operators,1
,,Rad technologies inc.,"THETFORD MINES, QC G6G 5R7",7237-Welders and related machine operators,7
,,Rawal Transport Inc,"VAUDREUIL-DORION, QC J7V 8P2",7511-Transport truck drivers,1
,,Raymark ULC / Mi 9 retail,"DORVAL, QC H9P 2N4",2173-Software engineers and designers,1
,,Reel FX Creative Studios Inc.,"Montréal, QC H3K 1G6",5241-Graphic designers and illustrators,5
,,Reitmans Canada Ltd,"Montréal, QC H3L 1Z2","5232-Other performers, n.e.c.",9
,,,,8432-Nursery and greenhouse workers,1
,,Reivax Amerique du Nord inc.,"MONTRÉAL, QC H3A 1E7",2133-Electrical and electronics engineers,1
,,Restaurant Alauzon (2014) Inc.,"Québec, QC G2B 1B3",6322-Cooks,1
,,Restaurant El Meson Inc.,"Montréal, QC H8S 2N1",6321-Chefs,1
,,RESTAURANT JUN.I INC,"Montréal, QC H2T 2N7",6321-Chefs,1
,,Restaurant Le Margaux,"Montréal, QC H2V 4G1",6321-Chefs,1
,,Restaurant Lévisien Inc,"Québec, QC G2B 1B3",6322-Cooks,2
,,Richcopter inc.,"DRUMMONDVILLE, QC J2B 8H1","2271-Air pilots, flight engineers and flying instructors",1
,,Rodeo FX  inc.,"Montréal, QC H3C 2M7",5241-Graphic designers and illustrators,2
,,S&D TRANSPORTATION INC.,"Lachine, QC H8T 2V3","7321-Automotive service technicians, truck and bus mechanics and mechanical repairers",1
,,S. Huot Inc.,"Québec, QC G1N 4N3",7231-Machinists and machining and tooling inspectors,1
,,Samuelsohn Ltd.,"Montréal, QC H3N 1W9","0016-Senior managers - construction, transportation, production and utilities",1
,,Savoir-faire Linux Inc.,"MONTRÉAL, QC H2R 2Y5",2171-Information systems analysts and consultants,2
,,Service Trans-West inc.,"Lachine, QC H8T 2X9",7511-Transport truck drivers,1
,,Services de carburant maritime CANDEN Ltéé,"SAINT-LAMBERT, QC J4P 1W3",6221-Technical sales specialists - wholesale trade,1
,,Services Sanitaires DF de Beauce inc,"Saint-georges de Beauce, QC G5Y 2J8",7312-Heavy-duty equipment mechanics,1
,,Shipco Transport (Canada) inc.,"Lachine, QC H8T 1A4","1215-Supervisors, supply chain, tracking and scheduling co-ordination occupations",1
,,Shutterstock Music Canada S.R.I.,"Montréal, QC H2W 1Z5",2173-Software engineers and designers,1
,,Skyservice Air Ambulance Intl Inc.,"Dorval, QC H9P 1A2","2271-Air pilots, flight engineers and flying instructors",3
,,Société Conseil Groupe LGS,"QUÉBEC, QC G1V 4K5",2171-Information systems analysts and consultants,12
,,,,2173-Software engineers and designers,6
,,,,2174-Computer programmers and interactive media developers,14
,,,,2281-Computer network technicians,1
,,Solutions Classe Affaires Inc.,"ST-AUGUSTIN-DE-DESMAURES, QC G3A 1S8",2171-Information systems analysts and consultants,1
,,,,2174-Computer programmers and interactive media developers,2
,,SOLUTIONS EFFECTO INC.,"SAINT-GEORGES, QC G5Y 8G2",2174-Computer programmers and interactive media developers,1
,,Solutions Humanitas inc.,"Montréal, QC H2V 2A3",2173-Software engineers and designers,1
,,Soucy Plastiques Inc.,"Drummondville, QC J2B 6V4",7333-Electrical mechanics,2
,,SPA & Soleil inc.,"MONTREAL, QC H2K 4J7","0651-Managers in customer and personal services, n.e.c.",1
,,Spectrum Hospitality Canada Co,"ST-JEAN-SUR-RICHELIEU, QC J2X 5P7",6321-Chefs,3
,,SREPE INC.,"Montréal, QC H2J 3E6",1223-Human resources and recruitment officers,1
,,Studio Digital District (Canada) Inc,"MONTRÉAL, QC H3K 3G9",5241-Graphic designers and illustrators,1
,,Sturo Métal Inc.,"LÉVIS, QC G6Y 9G6",7237-Welders and related machine operators,2
,,Systèmes Danfreight Inc.,"Joliette, QC J6E 0L8",7511-Transport truck drivers,6
,,Taxelco Inc.,"MONTRÉAL, QC H1W 4A4",1241-Administrative assistants,1
,,Technologie M1 Composites inc.,"Laval, QC H7L 5C3",7315-Aircraft mechanics and aircraft inspectors,4
,,TECSYS Inc.,"MONTRÉAL, QC H3Z 3B8",2282-User support technicians,1
,,THANJAI RESTAURANT (9253-2373 Québec inc),"Montreal, QC H3W 1H8",6321-Chefs,2
,,The CSL Group Inc.,"MONTREAL, QC H2Y 2K3",0112-Human resources managers,1
,,The Ritz-Carlton Company of Canada Ltd,"MONTRÉAL, QC H3G 1H6","1123-Professional occupations in advertising, marketing and public relations",1
,,,,6321-Chefs,1
,,Transport A. Laberge & Fils Inc.,"Lachine, QC H8S 1A5","7321-Automotive service technicians, truck and bus mechanics and mechanical repairers",1
,,TRANSPORT BOURRET INC,"DRUMMONDVILLE, QC J2B 8G8","7321-Automotive service technicians, truck and bus mechanics and mechanical repairers",1
,,Transport Gaston Nadeau inc.,"Ste-Mélanie, QC J0K 3A0","7321-Automotive service technicians, truck and bus mechanics and mechanical repairers",2
,,Transport Jaguar International Inc,"BOISBRIAND, QC J7H 1N5",7511-Transport truck drivers,4
,,Transport Morneau Inc.,"St-Arsène, QC G0L 2K0","7321-Automotive service technicians, truck and bus mechanics and mechanical repairers",1
,,Transport St-Agapit Inc.,"St-Agapit, QC G0S 1Z0",7511-Transport truck drivers,2
,,Tricots Liesse (1983) Inc.,"Montréal, QC H3B 2A1",7311-Construction millwrights and industrial mechanics,2
,,Un Museau vaut mille Mots inc,"TERREBONNE, QC J6W 1T8",3141-Audiologists and speech-language pathologists,1
,,Unity Technologies Canada Company,"MONTRÉAL, QC H3C 2N5",2174-Computer programmers and interactive media developers,1
,,Univers/Cité Mikaël (UCM),"SAINTE-AGATHE-DES-MONTS, QC J8C 2C4",1241-Administrative assistants,1
,,Université de Montréal,"Montréal, QC H3C 3J7",2171-Information systems analysts and consultants,1
,,,,4011-University professors and lecturers,2
,,Université de Sherbrooke,"SHERBROOKE, QC J1H 5N4",4011-University professors and lecturers,1
,,Université du Québec à Montréal,"MONTRÉAL, QC H3C 3P8",4011-University professors and lecturers,3
,,Université Laval,"QUÉBEC, QC G1V 0A6",4011-University professors and lecturers,4
,,Université McGill,"MONTREAL, QC H3G 2M1","0124-Advertising, marketing and public relations managers",1
,,,,2111-Physicists and astronomers,1
,,,,4011-University professors and lecturers,2
,,Usimax Inc.,"Saint-Georges, QC G5Y 8J5",7231-Machinists and machining and tooling inspectors,6
,,Usinage Saint-Laurent Inc.,"Sorel-Tracy, QC J3R 1V2",7231-Machinists and machining and tooling inspectors,3
